,MAL_ID,Genres,Type,Episodes,Rating,Popularity,Cleaned_Name,Year_Premiered,Duration_in_Minutes
0,1535,"Mystery, Police, Psychological, Supernatural, Thriller, Shounen",TV,37,R - 17+ (violence & profanity),1,Death Note,2006,23.0
1,16498,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",TV,25,R - 17+ (violence & profanity),2,Attack on Titan,2013,24.0
2,5114,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen",TV,64,R - 17+ (violence & profanity),3,Fullmetal Alchemist:Brotherhood,2009,24.0
3,11757,"Action, Game, Adventure, Romance, Fantasy",TV,25,PG-13 - Teens 13 or older,4,Sword Art Online,2012,23.0
4,30276,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural",TV,12,R - 17+ (violence & profanity),5,One Punch Man,2015,24.0
5,31964,"Action, Comedy, School, Shounen, Super Power",TV,13,PG-13 - Teens 13 or older,6,My Hero Academia,2016,24.0
6,22319,"Action, Mystery, Horror, Psychological, Supernatural, Drama, Seinen",TV,12,R - 17+ (violence & profanity),7,Tokyo Ghoul,2014,24.0
7,20,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,220,PG-13 - Teens 13 or older,8,Naruto,2002,23.0
8,9253,"Thriller, Sci-Fi",TV,24,PG-13 - Teens 13 or older,9,Steins;Gate,2011,24.0
9,19815,"Game, Adventure, Comedy, Supernatural, Ecchi, Fantasy",TV,12,PG-13 - Teens 13 or older,10,"No Game, No Life",2014,23.0
10,32281,"Romance, Supernatural, School, Drama",Movie,1,PG-13 - Teens 13 or older,11,Your Name.,2016,106.0
11,11061,"Action, Adventure, Fantasy, Shounen, Super Power",TV,148,PG-13 - Teens 13 or older,12,Hunter x Hunter (2011),2011,23.0
12,33486,"Action, Comedy, Super Power, School, Shounen",TV,25,PG-13 - Teens 13 or older,13,My Hero Academia 2,2017,23.0
13,6547,"Action, Comedy, Drama, School, Supernatural",TV,13,PG-13 - Teens 13 or older,15,Angel Beats!,2010,24.0
14,1575,"Action, Military, Sci-Fi, Super Power, Drama, Mecha, School",TV,25,R - 17+ (violence & profanity),15,Code Geass:Lelouch of the Rebellion,2006,24.0
15,25777,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",TV,12,R - 17+ (violence & profanity),16,Attack on Titan Season 2,2017,24.0
16,4224,"Slice of Life, Comedy, Romance, School",TV,25,PG-13 - Teens 13 or older,17,Toradora!,2008,24.0
17,20507,"Action, Adventure, Comedy, Supernatural, Shounen",TV,12,PG-13 - Teens 13 or older,18,Noragami:Stray God,2014,24.0
18,1735,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,500,PG-13 - Teens 13 or older,18,Naruto:Shippuden,2007,23.0
19,10620,"Action, Mystery, Psychological, Shounen, Supernatural, Thriller",TV,26,R+ - Mild Nudity,19,The Future Diary,2011,23.0
20,31240,"Psychological, Drama, Thriller, Fantasy",TV,25,R - 17+ (violence & profanity),21,Re:ZERO -Starting Life in Another World-,2016,25.0
21,23273,"Drama, Music, Romance, School, Shounen",TV,22,PG-13 - Teens 13 or older,22,Your Lie in April,2014,22.0
22,21881,"Action, Game, Adventure, Romance, Fantasy",TV,24,PG-13 - Teens 13 or older,23,Sword Art Online II,2014,23.0
23,38000,"Action, Demons, Historical, Shounen, Supernatural",TV,26,R - 17+ (violence & profanity),24,Demon Slayer:Kimetsu no Yaiba,2019,23.0
24,22199,"Action, Adventure, Drama, Fantasy, Shounen",TV,24,R - 17+ (violence & profanity),25,Akame ga Kill!,2014,23.0
25,9919,"Action, Demons, Fantasy, Shounen, Supernatural",TV,25,PG-13 - Teens 13 or older,25,Blue Exorcist,2011,24.0
26,23755,"Action, Adventure, Ecchi, Fantasy, Magic, Shounen, Supernatural",TV,24,PG-13 - Teens 13 or older,27,The Seven Deadly Sins,2014,24.0
27,28851,"Drama, School, Shounen",Movie,1,PG-13 - Teens 13 or older,28,A Silent Voice,2016,130.0
28,31043,"Mystery, Psychological, Supernatural, Seinen",TV,12,R - 17+ (violence & profanity),29,ERASED,2016,23.0
29,21,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",TV,Unknown,PG-13 - Teens 13 or older,31,One Piece,1999,24.0
30,36456,"Action, Comedy, Super Power, School, Shounen",TV,25,PG-13 - Teens 13 or older,31,My Hero Academia 3,2018,23.0
31,6702,"Action, Adventure, Comedy, Magic, Fantasy, Shounen",TV,175,PG-13 - Teens 13 or older,32,Fairy Tail,2009,24.0
32,269,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",TV,366,PG-13 - Teens 13 or older,33,Bleach,2004,24.0
33,30831,"Adventure, Comedy, Fantasy, Magic, Parody, Supernatural",TV,10,PG-13 - Teens 13 or older,34,KonoSuba:God's Blessing on This Wonderful World!,2016,23.0
34,18679,"Action, Comedy, Super Power, Ecchi, School",TV,24,PG-13 - Teens 13 or older,35,KILL la KILL,2013,24.0
35,2904,"Action, Military, Sci-Fi, Super Power, Drama, Mecha",TV,25,R - 17+ (violence & profanity),36,Code Geass:Lelouch of the Rebellion R2,2008,24.0
36,24833,"Action, Comedy, School, Shounen",TV,22,PG-13 - Teens 13 or older,37,Assassination Classroom,2015,23.0
37,1,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,R - 17+ (violence & profanity),39,Cowboy Bebop,1998,24.0
38,22535,"Action, Sci-Fi, Horror, Psychological, Drama, Seinen",TV,24,R - 17+ (violence & profanity),39,Parasyte -the maxim-,2014,23.0
