,user_id,anime_id,rating
0,15,223,10.0
1,15,225,5.0
2,15,72,7.0
3,15,527,10.0
4,15,482,7.0
5,15,392,8.0
6,43,21,9.0
7,43,27899,8.0
8,43,1535,9.0
9,43,223,8.0
10,43,813,10.0
11,43,22319,8.0
12,79,31043,10.0
13,79,20583,9.0
14,79,23273,10.0
15,79,27899,7.0
16,79,32995,10.0
17,105,1482,9.0
18,105,469,9.0
19,105,249,5.0
20,105,9756,7.0
21,105,5530,5.0
22,105,2476,6.0
23,141,269,9.0
24,141,5042,7.0
25,141,7817,7.0
26,141,1726,9.0
27,141,317,10.0
28,141,1535,9.0
29,190,31043,10.0
30,190,31859,9.0
31,190,32281,10.0
32,190,28851,10.0
33,190,32729,10.0
34,190,31240,10.0
35,220,269,9.0
36,220,1735,10.0
37,220,21,10.0
38,220,1482,10.0
39,220,1535,9.0
40,220,6746,7.0
41,220,5114,9.0
42,220,1604,7.0
43,220,20,7.0
44,220,45,10.0
45,303,235,9.0
46,303,1604,9.0
47,303,20,9.0
48,303,177,7.0
49,303,232,9.0
50,303,512,8.0
51,358,66,8.0
52,358,578,9.0
53,358,5680,9.0
54,358,6324,8.0
55,358,6211,9.0
56,358,4224,9.0
57,358,6,8.0
58,358,861,8.0
59,358,1840,9.0
60,358,3712,9.0
61,370,10568,7.0
62,370,431,9.0
63,370,7711,7.0
64,370,10721,10.0
65,370,164,10.0
66,370,12445,7.0
67,370,523,9.0
68,370,861,8.0
69,419,34618,9.0
70,419,5114,10.0
71,419,5680,9.0
72,419,8525,8.0
73,419,10080,8.0
74,419,16706,8.0
75,419,28851,10.0
76,419,23755,9.0
77,453,150,10.0
78,453,1604,7.0
79,453,1575,10.0
80,453,228,8.0
81,453,4898,9.0
82,453,6707,9.0
83,456,7054,10.0
84,456,9756,10.0
85,456,853,10.0
86,456,199,10.0
87,456,3588,9.0
88,456,22319,10.0
89,487,269,9.0
90,487,31043,10.0
91,487,1535,10.0
92,487,578,10.0
93,487,32281,8.0
94,487,28851,10.0
95,487,16782,8.0
96,487,32542,7.0
97,487,199,10.0
98,487,9253,10.0
99,501,66,8.0
100,501,59,8.0
101,501,1535,9.0
102,501,121,10.0
103,501,3092,8.0
104,501,853,10.0
105,501,1,9.0
106,501,6,8.0
107,533,269,9.0
108,533,6746,9.0
109,533,1604,9.0
110,533,4835,8.0
111,533,1482,8.0
112,533,1535,9.0
113,533,121,7.0
114,533,5680,7.0
115,533,5525,6.0
116,533,20,8.0
117,555,269,9.0
118,555,6702,8.0
119,555,7647,8.0
120,555,7674,9.0
121,555,1689,10.0
122,555,6594,9.0
123,555,8424,8.0
124,570,232,10.0
125,570,2890,9.0
126,570,5060,10.0
127,570,431,10.0
128,570,572,10.0
129,570,585,7.0
130,570,597,8.0
131,570,199,10.0
132,570,523,10.0
133,570,177,9.0
134,612,136,10.0
135,612,11061,10.0
136,612,1604,9.0
137,612,33926,8.0
138,612,392,10.0
139,630,5060,9.0
